title,year,baseline_year,country,treatment_type,duration_month,duration_years,z_treatment_effect,invSE,intervention_value,intervention_value_k,intervention_value_10k,intervention_value_100k,all_n,treatment_n,control_n,se_treatment_effect,population,depression_yn,outcome,outcome_negative,transfer_type,outcome_category,archive_name,id,int_Asset,int_CCT,int_Grad,int_Healthcare,int_Lottery,int_Neighborhood,int_Savings,int_UCT,treatment,age,age_range,female_share,authors,duration,z_se,LMIC,lumpsum,gdppercapita,ST,_meta_id,_meta_studylabel,_meta_es,_meta_se,_meta_cil,_meta_ciu,_meta_studysize,out_depression,out_anx_stress,out_happiness,out_other,intervention_gdp,lumpsumXyears_since,id_factor,_meta_regweight
Improving mental health among ultra-poor children: Two-year outcomes of a cluster-randomized trial in Burkina Faso.,2018,2017,Burkina Faso,Graduation Program,12,1,.1048748454474293,11.73215100591246,100,.1,.01,.001,240,120,120,1.276,children,Y,depression (CES),1,Conditional,Depression,Ismayilovaa_2018,Ismayilova et al. 2018,0,0,1,0,0,0,0,0,Grad,13,10 to 15,.4583,Ismayilova et al.,12 months,.0852358616502674,1,1,2053.505,0,1,Ismayilova et al. 2018,.1048748454474293,.0852358616502674,-.0621843735783335,.2719340644731921,240,1,0,0,0,.048697226,1,Ismayilova et al. 2018,60.9924693953832
Improving mental health among ultra-poor children: Two-year outcomes of a cluster-randomized trial in Burkina Faso.,2018,2017,Burkina Faso,Graduation Program,12,1,.0781603771789964,7.760094100045279,100,.1,.01,.001,240,120,120,.643,children,N,self-esteem (Rosenberg),0,Conditional,Self-Esteem,Ismayilovaa_2018,Ismayilova et al. 2018,0,0,1,0,0,0,0,0,Grad,13,10 to 15,.4583,Ismayilova et al.,12 months,.1288644167335761,1,1,2053.505,0,2,Ismayilova et al. 2018,.0781603771789964,.1288644167335761,-.1744092385075734,.3307299928655661,240,0,0,0,1,.048697226,1,Ismayilova et al. 2018,38.85554493482378
Improving mental health among ultra-poor children: Two-year outcomes of a cluster-randomized trial in Burkina Faso.,2018,2017,Burkina Faso,Graduation Program,24,2,.0694712352008449,8.948131908872865,100,.1,.01,.001,240,120,120,1.673,children,Y,depression (CES),1,Conditional,Depression,Ismayilovaa_2018,Ismayilova et al. 2018,0,0,1,0,0,0,0,0,Grad,13,10 to 15,.4583,Ismayilova et al.,24 months,.1117551697028976,1,1,2053.505,0,3,Ismayilova et al. 2018,.0694712352008449,.1117551697028976,-.1495648725029962,.2885073429046859,240,1,0,0,0,.048697226,2,Ismayilova et al. 2018,46.25446913164428
Improving mental health among ultra-poor children: Two-year outcomes of a cluster-randomized trial in Burkina Faso.,2018,2017,Burkina Faso,Graduation Program,24,2,.0120246734121533,8.220330323441704,100,.1,.01,.001,240,120,120,.607,children,N,self-esteem (Rosenberg),0,Conditional,Self-Esteem,Ismayilovaa_2018,Ismayilova et al. 2018,0,0,1,0,0,0,0,0,Grad,13,10 to 15,.4583,Ismayilova et al.,24 months,.1216496126862841,1,1,2053.505,0,4,Ismayilova et al. 2018,.0120246734121533,.1216496126862841,-.2264041861862104,.250453533010517,240,0,0,0,1,.048697226,2,Ismayilova et al. 2018,41.79039611873655
The effect of a savings intervention on women's intimate partner violence victimization: heterogeneous findings from a randomized controlled trial in Colombia.,2019,2013,Colombia,Savings,18,1.5,.1489571639425808,16.37399857575218,36.66666667,.03666666667,.003666666667,.0003666666667,1510,1127,383,.041,vulnerable women without formal or informal savings,Y,depression,1,,Depression,tankard_19,Tankard et al. 2019,0,0,0,0,0,0,1,0,Savings,33.69,18 to 55,1,Tankard et al.,18 months,.0610724372164581,1,0,12558.793,0,5,Tankard et al. 2019,.1489571639425808,.0610724372164581,.0292573865502393,.2686569413349224,1510,1,0,0,0,.0029196013,0,Tankard et al. 2019,77.75954737316604
The effect of a savings intervention on women's intimate partner violence victimization: heterogeneous findings from a randomized controlled trial in Colombia.,2019,2013,Colombia,Savings,18,1.5,.0504799277805413,17.22596001269439,36.66666667,.03666666667,.003666666667,.0003666666667,1510,1127,383,.046,vulnerable women without formal or informal savings,N,anxiety,1,,Anxiety,tankard_19,Tankard et al. 2019,0,0,0,0,0,0,1,0,Savings,33.69,18 to 55,1,Tankard et al.,18 months,.0580519169476225,1,0,12558.793,0,6,Tankard et al. 2019,.0504799277805413,.0580519169476225,-.0632997386703091,.1642595942313917,1510,0,1,0,0,.0029196013,0,Tankard et al. 2019,79.99782639569332
The effect of a savings intervention on women's intimate partner violence victimization: heterogeneous findings from a randomized controlled trial in Colombia.,2019,2013,Colombia,Savings,18,1.5,.1671408980024611,8.426726917577128,36.66666667,.03666666667,.003666666667,.0003666666667,1510,1127,383,.071,vulnerable women without formal or informal savings,N,stress,1,,Stress,tankard_19,Tankard et al. 2019,0,0,0,0,0,0,1,0,Savings,33.69,18 to 55,1,Tankard et al.,18 months,.1186700375817474,1,0,12558.793,0,7,Tankard et al. 2019,.1671408980024611,.1186700375817474,-.0654481017017784,.3997298977067006,1510,0,1,0,0,.0029196013,0,Tankard et al. 2019,43.07950870828723
Randomised controlled trial of a livestock productive asset transfer programme to improve economic and health outcomes and reduce intimate partner violence in a postconflict setting,2017,2012,Congo,Asset Transfer,18,1.5,.1562224714797691,4.403975903614458,70,.07,.007,.0007,833,309,524,.125,households in conflict-affected villages,N,anxiety (Hopkins Symptom Checklist),1,hybrid microcredit/in-kind,Anxiety,Glass_2017,Glass et al. 2017,1,0,0,0,0,0,0,0,Asset,25,16 to 61,.84,Glass et al.,18 months,.2270675457554784,1,1,580.689,0,8,Glass et al. 2017,.1562224714797691,.2270675457554784,-.2888217402588693,.6012666832184074,833,0,1,0,0,.12054645,1.5,Glass et al. 2017,16.47718320409929
Randomised controlled trial of a livestock productive asset transfer programme to improve economic and health outcomes and reduce intimate partner violence in a postconflict setting,2017,2012,Congo,Asset Transfer,18,1.5,.1194572740713603,5.173209692703399,70,.07,.007,.0007,833,309,524,.089,households in conflict-affected villages,Y,depression (Hopkins Symptom Checklist),1,hybrid microcredit/in-kind,Depression,Glass_2017,Glass et al. 2017,1,0,0,0,0,0,0,0,Asset,25,16 to 61,.84,Glass et al.,18 months,.1933035889518376,1,1,580.689,0,9,Glass et al. 2017,.1194572740713603,.1933035889518376,-.259410798356576,.4983253464992966,833,1,0,0,0,.12054645,1.5,Glass et al. 2017,21.50695256076427
Effect of an economic transfer program on mental health of displaced persons and host populations in Democratic Republic of Congo: a randomised controlled trial,2020,2017,Congo,Asset Transfer,1.5,.125,.3298966492038402,13.66198251603418,13.73,.01373,.001373,.0001373,769,388,381,.071,vulnerable households,N,mental health index,0,Unconditional,Depression,Quattrochi_2020,Quattrochi 2020,1,0,0,0,0,0,0,0,Asset,35,,.88,Quattrochi,6 weeks,.073195819042102,1,1,935.039,0,10,Quattrochi 2020,.3298966492038402,.073195819042102,.1864354800624091,.4733578183452712,769,1,0,0,0,.01468388,.125,Quattrochi 2020,69.02291336946472
