authors,year,baseline_year,"methodological 
method",title,include_yn,include_why,archive_name,KE,JR,JM,treatment_type,transfer_type,country,LMIC,population,female_share,age_range,age,all_n,treatment_n,control_n,intervention_code,intervention_des,outcome,outcome_category,outcome_negative,outcome_dummy,lumpsum,intervention_value,intervention_type,lumpsun_amount,member_des,member_amount,member_n,month_amount,months_n,duration_month,duration,index_with_components,depression_yn,information_requestes,standarized,t_treatment,treatment_effect,se_treatment_effect,end_mean_con,end_sd_con,end_mean_treatment,end_sd_treatment,bas_mean_treatment,bas_sd_treatment,bas_diff,bas_diff_sd,bas_pval,est_t,bas_mean_con,bas_sd_con,bas_mean_all,bas_sd_all,end_mean_all,end_sd_all,other_outcomes,gender_effects,notes,Assumptions,paper_sample,paper_treatment_effect,paper_standarization,paper_covariates,paper_intervention_value
Buller et al.,2016,2011,RCT,The way to a man's heart is through his stomach?: a mixed methods study on causal mechanisms through which cash and in-kind food transfers decreased intimate partner violence.,Y,,buller_16,,Y,,Cash Transfer,Unconditional,Ecuador,1,poor households in carchi,100%,15 to 69,40,1226,,,,"cash, voucher or food estimated at 40 monthly",life satisfaction,Happiness or Satisfaction,0,,0,240,,,,,,40,6,8,8 months,0,N,,1,,0.01,0.03,,,,,,,,,,,,,,,,,,,cash with voucher and food. not sure if standarized.not control N. estimated age.,,Table 3,Table 3,already standarized,-,"Page 2, intervention section"
Buller et al.,2016,2011,RCT,The way to a man's heart is through his stomach?: a mixed methods study on causal mechanisms through which cash and in-kind food transfers decreased intimate partner violence.,Y,,buller_16,,Y,,Cash Transfer,Unconditional,Ecuador,1,poor households in carchi,100%,15 to 69,40,1226,,,,"cash, voucher or food estimated at 40",happiness,Happiness or Satisfaction,0,,0,240,,,,,,40,6,8,8 months,0,N,,1,,0.03,0.02,,,,,,,,,,,,,,,,,,,cash with voucher and food. not sure if standarized.not control N. estimated age.,,Table 3,Table 3,already standarized,-,"Page 2, intervention section"
Burger et al.,2020,2015,RCT,The Joy of Lottery Play: Evidence from a Field Experiment,Y,,burger_20,,y,,Lottery,,Netherlands,1,lottery winners,,,,1097,559,538,,"effect of winning a small prize (49% did not win a prize at all, 39% won less than 10 euro, 11% won a prize between 10 and 100 euro, and 1% won a prize larger than 100 euro)",happiness,Happiness or Satisfaction,0,,1,10,,,,,,,,0.25,1 week,0,N,,0,-2.056,0.13,0.063,-0.15,0.1,-0.02,0.1,,,,,,,,,,,,,,,estimated diff-in-diff using pvalue of difference. treatment effect as difference. see table 4.,,"Table 4 and page 14, paragraph 2","Table 4, panel A, lottery ticket and price, difference in happiness between people with price and no price",Table 4,-,"Small prize, page 14"
Edmonds & Theoharides,2020,2016,RCT,The Short Term Impact of a Productive Asset Transfer in Families with Child Labor: Experimental Evidence from the Philippines,Y,,edmonds_20,,Y,,Asset Transfer,,Phillipines,1,children of beneficiary households,46%,5 to 17,13.32,3620,1813,1807,,,child wellbeing,Happiness or Satisfaction,0,,1,518,,,,,,,,36,3 years,1,N,,1,,0.034,0.014,,,,,,,,,,,0.02,0.65,-0.01,0.67,,,,,,,Table 3 (proportions) and Table 5 (endline sample),Table 5,Table 5,Table 3,"Page 2, paragraph 2"
Edmonds & Theoharides,2020,2016,RCT,The Short Term Impact of a Productive Asset Transfer in Families with Child Labor: Experimental Evidence from the Philippines,Y,,edmonds_20,,Y,,Asset Transfer,,Phillipines,1,children of beneficiary households,46%,5 to 17,13.32,3620,1813,1807,,,CES Depression Scale,Depression,0,,1,518,,,,,,,,36,3 years,0,Y,,0,,0.061,0.304,24.511,7.698,,,,,,,,,,,,,,,,,,,Table 3 (proportions) and Table 5 (endline sample),Appendix Table 11,Appendix Table 11,Table 3,"Page 2, paragraph 2"
Edmonds & Theoharides,2020,2016,RCT,The Short Term Impact of a Productive Asset Transfer in Families with Child Labor: Experimental Evidence from the Philippines,Y,,edmonds_20,,Y,,Asset Transfer,,Phillipines,1,children of beneficiary households,46%,5 to 17,13.32,3620,1813,1807,,,life satisfaction,Happiness or Satisfaction,0,,1,518,,,,,,,,36,3 years,0,N,,0,,0.471,0.233,27.519,5.181,,,,,,,,,,,,,,,,,,,Table 3 (proportions) and Table 5 (endline sample),Appendix Table 11,Appendix Table 11,Table 3,"Page 2, paragraph 2"
Egger et al.,2019,2014,RCT,General equilibrium effects of cash transfers: experimental evidence from Kenya ,Y,,egger_19,,Y,,Cash Transfer,Unconditional,Kenya,1,poor households,67%,,,4121,,,,one time transfer,Psychological well-being index,Depression,0,,1,1000,,1000,,,,,,11,11 months,0,Y,,1,,0.12,0.07,,,,,,,,,,,,,,,,,,,,,Notes table 6,Table 6,Standardized,"Appendix, table C2",Abstract
Fauth et al.,2004,1994,,"Short-term effects of moving from public housing in poor to middle-class neighborhoods on low-income, minority adults' outcomes.",Y,,Fauth_2004,Y,,,Neighborhood,In-kind,USA,0,adults,97%,Adults on average 36 years,36,315,173,142,,Yonkers Project (relocating from high-poverty to low-poverty neighborhood),depression symptoms (Symptom-Driven Diagnostic System for Primary Care),Depression,1,,0,18627,,1827,,,,700,24,24,2 years,0,Y,,0,,-0.28,0.39,3.39,2.29,2.8,3.47,,,,,,,,,,,,,"neighboorhood characteristics & housing quality, physical health, economic outcomes, social contacts",N,,,,Table 4,Table 1,Table 1,Estimation using Katz 01
Fauth et al.,2004,1994,,"Short-term effects of moving from public housing in poor to middle-class neighborhoods on low-income, minority adults' outcomes.",Y,,Fauth_2004,Y,,,Neighborhood,In-kind,USA,0,adults,97%,Adults on average 36 years,36,315,173,142,,Yonkers Project (relocating from high-poverty to low-poverty neighborhood),anxiety/panic symptoms (Symptom-Driven Diagnostic System for Primary Care),Anxiety,1,,0,18627,,1827,,,,700,24,24,2 years,0,Y,,0,,-0.2,0.41,3.74,3.55,3.28,3.59,,,,,,,,,,,,,"neighboorhood characteristics & housing quality, physical health, economic outcomes, social contacts",N,,,,Table 4,Table 1,Table 1,Estimation using Katz 01
Fauth et al.,2004,1994,,"Short-term effects of moving from public housing in poor to middle-class neighborhoods on low-income, minority adults' outcomes.",Y,,Fauth_2004,Y,,,Neighborhood,In-kind,USA,0,adults,97%,Adults on average 36 years,36,315,173,142,,Yonkers Project (relocating from high-poverty to low-poverty neighborhood),alcohol abuse symptoms (Symptom-Driven Diagnostic System for Primary Care),None,1,,0,18627,,1827,,,,700,24,24,2 years,0,Y,,0,,-0.72,0.39,0.15,,0.08,,,,,,,,,,,,,,"neighboorhood characteristics & housing quality, physical health, economic outcomes, social contacts",N,,,,Table 4,Table 1,Table 1,Estimation using Katz 01
Fauth et al.,2004,1994,,"Short-term effects of moving from public housing in poor to middle-class neighborhoods on low-income, minority adults' outcomes.",Y,,Fauth_2004,Y,,,Neighborhood,In-kind,USA,0,adults,97%,Adults on average 36 years,36,315,173,142,,Yonkers Project (relocating from high-poverty to low-poverty neighborhood),drug abuse symptoms (Symptom-Driven Diagnostic System for Primary Care),None,1,,0,18627,,1827,,,,700,24,24,2 years,0,Y,,0,,0.12,0.37,0.12,,0.11,,,,,,,,,,,,,,"neighboorhood characteristics & housing quality, physical health, economic outcomes, social contacts",N,,,,Table 4,Table 1,Table 1,Estimation using Katz 01
Finkelstein et al.,2012,2008,,The Oregon Health Insurance Experiment: Evidence from the First Year,Y,,Finkelstein_2012,,Y,,Healthcare,In-kind,USA,0,adults,59%,20-60,40,23741,11808,11933,Oregon Medicaid,"healthcare access. USD 4000 (USD 3500 a year, 14 months)",happiness (Very happy or pretty happy (vs. not too happy)),Happiness or Satisfaction,0,,0,3500,per_month,,,,,250,14,14,14 months,0,N,,0,,0.056,0.007,0.594,0.491,,,,,,,,,,,,,,,,N,"not RCT, control group created later - ITT",,Table II and Table I (footnotes),Table X,Table X,Table I,"Page 1063, paragraph 1"
Finkelstein et al.,2012,2008,,The Oregon Health Insurance Experiment: Evidence from the First Year,Y,,Finkelstein_2012,,Y,,Healthcare,In-kind,USA,0,adults,59%,20-60,40,23741,11808,11933,Oregon Medicaid,"healthcare access. USD 4000 (USD 3500 a year, 14 months)","Did not screen positive for depression, last two weeks",Depression,0,,0,3500,per_month,,,,,250,14,14,14 months,0,Y,,0,,0.023,0.007,0.671,0.47,,,,,,,,,,,,,,,,N,"not RCT, control group created later - ITT",,Table II and Table I (footnotes),Table IX,Table IX,Table I,"Page 1063, paragraph 1"
Finkelstein et al.,2012,2008,,The Oregon Health Insurance Experiment: Evidence from the First Year,Y,,Finkelstein_2012,,Y,,Healthcare,In-kind,USA,0,adults,59%,20-60,40,23741,11808,11933,Oregon Medicaid,"healthcare access. USD 4000 (USD 3500 a year, 14 months)","# of days mental health good, past 30 days",Depression,0,,0,3500,per_month,,,,,250,14,14,14 months,0,N,,0,,0.603,0.184,18.738,18.738,,,,,,,,,,,,,,,,N,"not RCT, control group created later - ITT",,Table II and Table I (footnotes),Table IX,Table IX,Table I,"Page 1063, paragraph 1"
Baicker et al.,2013,2009,Lottery; Regression + controls using panel data,The Oregon experiment--effects of Medicaid on clinical outcomes.,Y,,baicker_13,,Y,,Healthcare,In-kind,USA,0,adults,56%,19 to 64,40,12229,6387,5842,Oregon Medicaid,,positive screening depression,Depression,1,1,0,6000,,,,,,250,24,24,2 years,0,Y,,0,,-0.092,0.039,0.3,,,,,,,,,,,,,,,,,,,,Page 23 of Appendix.,Table II - Positive screening result (%),Normalization (page18 of Appendix). Dummy. Mean value control group in table II.,Table I,-
Baicker et al.,2013,2009,Lottery; Regression + controls using panel data,The Oregon experiment--effects of Medicaid on clinical outcomes.,Y,,baicker_13,,Y,,Healthcare,In-kind,USA,0,adults,56%,19 to 64,40,12229,6387,5842,Oregon Medicaid,,happiness,Happiness or Satisfaction,0,1,0,6000,,,,,,250,24,24,2 years,0,N,,0,,0.012,0.036,0.749,,,,,,,,,,,,,,,,,,,,Page 23 of Appendix.,Table III - Very happy or pretty happy (%),Normalization (page18 of Appendix). Dummy. Mean value control group in table III.,Table I,-
Baicker et al.,2013,2009,Lottery; Regression + controls using panel data,The Oregon experiment--effects of Medicaid on clinical outcomes.,Y,,baicker_13,,Y,,Healthcare,In-kind,USA,0,adults,56%,19 to 64,40,12229,6387,5842,Oregon Medicaid,,mental health component,Depression,0,0,0,6000,,,,,,250,24,24,2 years,0,N,,0,,1.95,0.985,44.4,11.4,,,,,,,,,,,,,,,,,,,Page 23 of Appendix.,Table III - Mental Health Component Score,Normalization (page 18 of Appendix). Mean value and SD of control group in table III.,Table I,-
Gardner & Oswald,2001,1991,,Does Money Buy Happiness? A Longitudinal Study Using Data on Windfalls,Y,,gardner_01,,Y,,Lottery,,Uk,0,lottery winners,,Adults,,9493,1818,7675,,,GHQ mental stress,Stress,1,,1,200,,,,,,,,12,12 months,0,N,,0,6.26,-1.579,0.252,11.22,5.48,,,,,,,,,,,,,11.14,5.44,,,effect of lottery amount,,Table 5a,Table 5a,Table 2a,-,Table 2a
