"GDP per capita, current prices (Purchasing power parity; international dollars per capita)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,886.227,942.382,937.636,1044.589,1099.814,1232.621,1272.751,1507.225,1607.598,1694.256,1952.807,2010.117,2119.908,2135.839,2022.679,2102.784,2128.38,2200.539,2072.894,2153.897,2239.876,2329.512,2413.712,2502.139
Albania,2157.741,2447.005,2617.639,2692.366,2786.071,2773.464,2930.535,2920.091,2925.035,3249.096,2979.534,2231.23,2130.653,2405.154,2703.97,3024.994,3381.652,3083.401,3414.84,3935.549,4330.519,4837.702,5152.605,5559.207,6048.929,6615.812,7264.04,7965.456,8796.657,9222.982,9724.481,10207.743,10526.271,10570.982,11259.261,11661.999,12077.602,13088.307,13982.669,14534.109,13651.341,14826.862,15994.139,17013.143,17966.645,18976.671
Algeria,4817.002,5267.253,5765.501,6114.143,6481.329,6734.752,6676.158,6619.203,6527.173,6935.998,7159.802,7136.03,7238.179,7085.848,7014.99,7288.159,7567.176,7653.996,8007.337,8254.767,8604.628,8926.056,9434.834,10149.78,10709.656,11520.72,11889.825,12432.051,12698.063,12754.1,13105.459,13480.048,13263.91,13003.307,12940,11944.989,11543.303,11458.757,11658.67,11728.695,11040.555,11435.373,11734.376,11888.556,12050.854,12219.344
Angola,1223.555,1246.691,1289.604,1360.769,1455.972,1379.59,1407.95,1464.258,1566.377,1584.998,1546.309,1739.588,1924.382,2122.395,2325.781,2544.307,2797.355,2963.679,3046.246,3065.676,3135.865,3242.162,3634.494,3701.619,4094.784,4715.431,5261.302,5980.157,6579.806,6492.129,6686.332,6857.285,7623.612,7948.018,8507.964,7668.513,7449.176,7681.958,7539.905,7383.921,6978.425,7148.457,7274.497,7473.202,7673.14,7815.141
Antigua and Barbuda,4001.414,4583,4918.495,5463.894,6338.636,7158.76,8285.808,9213.236,10187.195,11245.327,12029.366,12603.916,12830.391,13522.198,14360.612,13653.462,14421.71,15047.396,15512.78,15926.446,17012.499,16247.277,16495.36,17629.285,18938.071,20558.32,23621.581,26219.24,26435.89,23162.379,21426.245,21223.826,20392.925,19498.874,19674.14,19456.146,20388.518,20190.631,21777.631,22567.841,18655.044,19674.589,21920.411,23819.503,24901.646,25973.234
Argentina,6179.32,6263.393,6334.132,6732.522,6995.775,6602.519,7125.168,7401.751,7422.124,7084.882,7102.359,8005.126,8909.231,9548.299,10189.821,9983.668,10601.39,11525.04,11968.699,11603.762,11646.257,11262.946,10097.011,11100.751,12299.708,13674.482,15074.207,16708.085,17550.544,16476.516,18061.925,19322.227,19641.353,20131.68,19683.772,20105.199,20307.87,23597.118,23305.845,22997,20369.636,21621.36,22338.439,23032.212,23732.462,24365.446
Armenia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,1626.489,1464.992,1615.42,1820.512,1980.429,2102.72,2281.535,2403.308,2609.275,2938.044,3437.68,4006.692,4560.464,5401.846,6320.839,7407.749,8103.603,7033.594,7281.037,7778.182,9093.972,9563.81,9792.081,9753.364,10502.091,11974.031,12947.629,14176.871,13735.479,14536.072,15539.078,16585.089,17701.987,18859.112
Aruba,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,27879,27632.209,28937.949,29086.569,29507.336,32123.949,31423.805,30797.58,31627.42,34307.131,34892.028,35678.841,37104.948,37596.36,33362.099,32542.016,34073.114,32921.417,33779.872,33605.367,32377.56,31803.509,31956.048,32889.188,33508.081,27169.126,30148.523,31946.522,32899.518,33856.081,34831.578
Australia,10505.589,11785.084,12316.593,12578.244,13687.826,14682.121,15117.888,15996.15,16962.046,18170.446,18873.845,19084.491,19816.094,20884.179,22156.964,22973.445,24085.666,25373.598,26584.87,27853.143,28997.698,30022.676,31404.402,32510.378,34380.569,36047.436,37559.352,39531.341,40489.69,40824.007,41689.481,43090.334,42905.491,46505.965,47018.217,46406.604,48152.486,49795.546,51571.451,52725.75,50844.733,53188.776,55135.053,56818.749,58601.448,60427.369
Austria,11239.438,12265.865,13255.559,14202.815,14762.552,15560.611,16228.439,16886.751,17627.839,18985.956,20416.674,21646.461,22348.254,22754.353,23659.802,24739.285,25761.663,26724.236,27962.227,29317.678,30910.42,31866.382,32743.01,33515.238,35137.275,36793.294,39013.725,41418.609,42705.159,41311.829,42461.303,44469.2,46477.668,47936.694,48813.542,49955.451,52614.374,54531.114,56741.338,58849.546,55406.098,58966.362,60998.255,62997.283,64997.64,67025.411
